Restaurant Name,place_id,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
168 CMY Satay,ChIJFQJEK4YZ2jERrEB-quqh42s,"Chinatown Complex Market & Food Centre, #02-168, 335 Smith Street, 050335, Singapore",Singapore,Central,1,Street Food,103.8430927,1.2823914,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/168-cmy-satay,https://maps.app.goo.gl/bbmh26E4yChddHZcA,Selected Restaurants,"Dine-in,Takeaway","Two shops share the same venue, so be sure you order from the right one. The grilled-to-order satay comes in pork, chicken and lamb varieties (or an assortment). The nutty, tangy sauce is tasty and you can order rice on top.",A,0,23,4.43,good,0.7117,good,0.5845,good,0.8738,3.78,4.0,4.04
545 Whampoa Prawn Noodles,ChIJP-gkM78Z2jERkC39WJ-_Ysk,"Tekka Centre, #01-326, 665 Buffalo Road, 210665, Singapore",Singapore,Central,1,Street Food,103.8504528,1.3059012,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/545-whampoa-prawn-noodles,https://maps.app.goo.gl/w5T7TMGEh61anLCB8,Selected Restaurants,"Dine-in,Takeaway,Coffee,Wheelchair accessible","The stall dates back to 1920s. Dry noodles dressed in sambal sauce are topped with bean sprouts, prawns and pork, and served with umami-laden prawn soup. Or opt for the noodle soup version. Add fried shallots and lard on top.",A,0,22,4.32,good,0.6826,excellent,0.4803,good,0.9233,3.5,4.18,3.95
91 Fried Kway Teow Mee,ChIJQSRJirMZ2jERdDBG58T_4Lg,"Golden Mile Food Centre, #01-91, 505 Beach Road, 199583, Singapore",Singapore,Central,1,Street Food,103.8638813,1.3029121,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/91-fried-kway-teow-mee,https://maps.app.goo.gl/mttKRfX87LiH6HYn8,Selected Restaurants,"Dine-in,Takeaway","Their fried kway teow boasts exceptional wok hei and is pork free. Topped with leafy greens, cockles, egg, bean sprouts, deep-fried anchovies and a prawn, the noodles are perfectly seasoned. It closes when sold out.",A,0,28,2.89,poor,0.7598,excellent,0.4776,good,0.8293,2.82,3.07,3.36
A Noodle Story,ChIJacz6ujYZ2jERUPwcjKRR_ws,"Amoy Street Food Centre, #01-39, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1,Street Food,103.8464494,1.2790364,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/a-noodle-story,https://maps.app.goo.gl/NUp4vE9VWeuQ7HKG8,Bib Gourmand,"Dine-in,Takeaway,Delivery,NFC payments,Wheelchair accessible","The stall has an interesting look and sells local, traditional noodles cooked in an innovative way.",A,0,23,4.52,good,0.7562,excellent,0.5588,good,0.8794,3.7,4.3,4.04
Adam Rd Noo Cheng Big Prawn Noodle,ChIJv4Mk4QYa2jER04PXfccoZvo,"Adam Food Centre, #01-27, 2 Adam Road, 289876, Singapore",Singapore,Central,1,Street Food,103.814139,1.324031,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/adam-rd-noo-cheng-big-prawn-noodle,https://maps.app.goo.gl/DHAUuJ6fGnGSQaqCA,Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","The prawn mee cooked à la minute is a recipe from the owner’s father. Opt for “dry” noodles tossed in prawn paste of your desired level of heat, alongside a bowl of prawn soup. Toppings like pig skin add contrasting textures.",A,0,28,2.86,good,0.8026,good,0.5377,good,0.8996,3.07,3.21,3.39
Ah Heng Duck Rice,ChIJC29QQQsZ2jERZrpeI5PiF1w,"Hong Lim Market and Food Centre, #02-64, Blk 531A, Upper Cross Street, 051531, Singapore",Singapore,Central,1,Street Food,103.8457572,1.2851653,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ah-heng-duck-rice,https://maps.app.goo.gl/s89XdqZibM6edZpQA,Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The taste of duck meat blends with the spice marinade, each boasting a rich flavour. Snacks like duck liver and dried tofu are also offered.",A,0,29,4.21,good,0.645,good,0.5258,good,0.8695,3.69,4.34,3.86
Ah Hock Fried Hokkien Noodles,ChIJBdZY5_8W2jERaQD-f879OKY,"Chomp Chomp Food Centre, #01-27, 20 Kensington Park Road, 557269, Singapore",Singapore,North-East,1,Street Food,103.8665402,1.3642542,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ah-hock-fried-hokkien-noodles,https://maps.app.goo.gl/oefgsADm4b2PEgtH6,Selected Restaurants,"Dine-in,Takeaway,Outdoor seating",Serves fried Hokkien noodles with shrimp and squid.,B,1,28,2.68,poor,0.811,good,0.5831,good,0.9122,2.82,3.0,3.07
Ah Ter Authentic Teochew Fish Ball Noodles,ChIJUxLPXw0Z2jER33huBPvJbpk,"Amoy Street Food Centre, #01-14, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1,Street Food,103.8466829,1.2794786,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ah-ter-teochew-fish-ball-noodles,https://maps.app.goo.gl/eJsrNmFTpbbKXd7g6,Selected Restaurants,"Dine-in,Takeaway,Delivery,Wheelchair accessible","Now run by the third generation, this family-run stall is famous for its fish ball noodle soup topped with ground pork, pork liver, seaweed and pork rinds. Pork ribs are simmered for hours resulting in a broth rich in gutsy flavours.",B,1,26,3.96,good,0.7257,excellent,0.4927,good,0.883,3.65,4.19,3.85
Allauddin's Briyani,ChIJP-gkM78Z2jERA5DuOx0ChII,"Tekka Centre, #01-229/232, 665 Buffalo Road, 210665, Singapore",Singapore,Central,1,Street Food,103.8508753,1.3060542,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/allauddin-s-briyani,https://maps.app.goo.gl/4g5BbBEv6iStBbLj8,Selected Restaurants,"Dine-in,Takeaway,Delivery,NFC payments","The family has been selling its famous biryani since the 1950s. The set comes with yellow basmati rice enhanced by a spice mix; mutton, chicken or fish curry; and papadums. The mutton sambal is tender and tasty.",C,3,24,3.5,good,0.6504,excellent,0.4589,good,0.869,3.33,3.58,3.67
Alliance Seafood,ChIJu3wK9-sZ2jERz3jrVfP4sWM,"Newton Food Centre, #01-27, 500 Clemenceau Avenue North, 229495, Singapore",Singapore,Central,1,Street Food,103.8395393,1.3121151,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/alliance-seafood,https://maps.app.goo.gl/aaHPNDZRvGH7bVbi9,Bib Gourmand,"Takeaway,Outdoor seating,Beer,Wheelchair accessible","Come here for cooked-to-order seafood at a range of prices. Barbecue is hugely popular, but you can also opt for sambal, black pepper sauce or salted egg yolk. Don’t miss the cereal butter prawns.",A,0,28,3.79,good,0.635,excellent,0.5639,good,0.7997,3.32,3.93,3.68
