place_id,Restaurant Name,Google Review Ratings,Reviews,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,5,Smoky flavoured satay. Awesome!,excellent,0.6871,excellent,0.681,good,0.9919,5,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,5,"I was surprised to find satay being sold in the morning. I ordered 10 sticks of mutton for $8, as I had just had a big plate of chicken rice. The mutton satay was thick, meaty, and very delicious, with no mutton smell at all. I will come back again next time for more.",good,0.9006,good,0.1237,good,0.99,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,2,Disappionted. Expected better quality based on the reviews. Meat was still chewy,poor,0.4075,terrible,0.0594,good,0.2566,2,1,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,5,great satay and sauce... delicious.. one of the best in Singapore,good,0.4429,excellent,0.786,excellent,0.9983,4,5,5
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,4,20251120 - popular satay stall in chinatown smithstreet hawker centre. Ordered 15 sticks of pork with rice. Had to wait around 15 min. Nice of them to give extra gravy. Satay was well bbq and dipping sauce pairs well. Good to have as a dish with other variety of food you can get in hawker centre.,good,0.7233,good,0.7749,good,0.9889,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,5,好吃猪肉串,good,0.4043,excellent,0.5356,good,0.5068,4,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,4,"First time trying this stall’s satay after walking past it so many times at the hawker centre.
Surprisingly, the chicken satay tasted fresh and delicious.
I would have preferred a little more char on the meat, but the seasoning was on point and the satay gravy was nicely balanced.
Prices are reasonable and the service is friendly.
Overall, a satisfying satay fix — will certainly patronize again.",good,0.9886,excellent,0.9896,good,0.9966,4,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,3,Satay bee hoon,poor,0.5656,terrible,0.3516,good,0.7654,2,1,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,5,"The fact that they grill it fresh to order is AMAZING. Came out piping hot w/ that perfect char, super tender & juicy. no dry meat, promise! 👍
​Got the rice, beff, pork & chicken combo. u can tell the meat quality is top-notch.
​But the peanut sauce... OMG. So rich, sweet, & nutty, it's next lvl w/ the smoky meat. a match made in heaven. 🤤🤤🤤",good,0.3707,excellent,0.8864,excellent,0.9991,4,5,5
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,5,Bought the kangkong with squid for $8 for 2 pax sharing portion. Good and affordable! Only a little squid but overall still good!,good,0.9985,good,0.6671,good,0.9812,4,4,4
